,NY-ESO,TAX,MART,Hsiue,Luksza TCR1,Luksza TCR2,Luksza TCR3,Luksza TCR4,Luksza TCR5,Luksza TCR6,Luksza TCR7
BLOSUM62,,,,,0.43,0.40,0.91,0.77,0.65,0.79,0.42
TCRdock,,,,,0.63,0.63,0.73,0.62,0.47,0.72,0.55
TCRdock benchmark,,,,,0.64,0.64,0.61,0.47,0.63,0.57,0.55
ProteinMPNN 0.02,,,,,0.78,0.76,0.76,0.45,0.78,0.77,0.70
ProteinMPNN 0.30,,,,,0.79,0.80,0.67,0.52,0.77,0.76,0.48
HERMES-fixed 0.00,,,,,0.79,0.84,0.84,0.56,0.66,0.88,0.46
HERMES-fixed 0.50,,,,,0.76,0.80,0.83,0.62,0.51,0.80,0.53
HERMES-relaxed 0.00,,,,,0.76,0.86,0.68,0.47,0.78,0.69,0.52
HERMES-relaxed 0.50,,,,,0.84,0.78,0.71,0.50,0.69,0.54,0.61
